,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
0,0.32604066,0.49190423,1.50814287,0.45937513,0.19967111,0.30008224,1.53286495,0.32692406
1,0.17704132,0.29041355,1.18498321,0.25804413,0.16111501,0.25081115,1.28103314,0.26964546
2,0.14886643,0.25372657,0.99269761,0.22044253,0.14307245,0.23162755,1.18310587,0.24528833
3,0.13735371,0.23852967,0.92092593,0.20467862,0.13932733,0.22671127,1.15493405,0.23762115
4,0.13284956,0.23170324,0.89463039,0.19857732,0.14539727,0.22719714,1.21112116,0.24895046
5,0.12916363,0.22714689,0.88429583,0.19374381,0.13902589,0.22368927,1.14679356,0.23883912
6,0.12655586,0.22407737,0.8638007,0.18942798,0.13678869,0.22086817,1.14392429,0.23448783
7,0.12448954,0.22107323,0.85122808,0.18678142,0.13419328,0.21993565,1.15723102,0.23223098
8,0.12258692,0.2188376,0.84267244,0.18418686,0.13373744,0.21778995,1.11598617,0.22930076
9,0.12168774,0.21705491,0.83869848,0.18299052,0.13122104,0.21548894,1.08583481,0.22551051
10,0.12051486,0.21563014,0.83063375,0.18121878,0.13309237,0.21767689,1.14853904,0.22869354
11,0.11891635,0.2133877,0.82770011,0.17921788,0.13239704,0.21686234,1.12603626,0.22724738
12,0.11955083,0.21500102,0.8257477,0.17994049,0.13244791,0.21533868,1.10281462,0.22633015
13,0.11825809,0.21275433,0.82106769,0.17799201,0.1318513,0.21605306,1.15161809,0.22907989
