,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
0,2.67157638,3.74823779,0.02870942,0.02598328,2.7940824,3.81966794,0.02938376,0.02710459
1,2.6645571,3.74051642,0.02864778,0.025908,2.78750944,3.81224,0.02926353,0.02698601
2,2.66131806,3.73522383,0.02848469,0.02576353,2.77985835,3.80352616,0.02912423,0.02684873
3,2.65144038,3.7242133,0.02831499,0.02559973,2.77064705,3.79292202,0.02895695,0.02668411
4,2.6370579,3.70924556,0.02810404,0.02539465,2.75946832,3.77988338,0.02875455,0.02648525
5,2.62220836,3.69169009,0.027859,0.02515907,2.74586797,3.76381528,0.02850906,0.02624445
6,2.60591137,3.67192817,0.02766444,0.02494437,2.72927403,3.74387598,0.02820959,0.02595125
7,2.59093547,3.65771359,0.02731159,0.02460841,2.70919275,3.71921992,0.02784714,0.02559739
8,2.5663588,3.62844795,0.02689022,0.02420244,2.68511939,3.68842208,0.02741367,0.02517641
9,2.5340991,3.58701485,0.02635153,0.02369326,2.65715575,3.65015626,0.02691129,0.02469278
10,2.50347483,3.54784209,0.02583756,0.02318921,2.62656736,3.60344183,0.02636656,0.02417769
11,2.466102,3.49197382,0.02524712,0.02264315,2.59727836,3.54857838,0.02584611,0.02370508
12,2.43394125,3.43341109,0.0248805,0.02230509,2.57314515,3.48994517,0.02540854,0.02333577
13,2.40974915,3.37107423,0.02452405,0.02203587,2.54963326,3.43344879,0.02496286,0.02296496
14,2.38603115,3.31891972,0.02412393,0.02172276,2.51885056,3.38307738,0.02441813,0.02246866
15,2.35449028,3.26740664,0.0235477,0.02120094,2.48377895,3.33374321,0.02383805,0.02192538
16,2.32402134,3.22153521,0.02299677,0.02068613,2.44929218,3.2866838,0.02331827,0.02143659
17,2.29616892,3.17695233,0.02251796,0.02024741,2.4142108,3.23635447,0.02281097,0.02096869
18,2.26890111,3.12836292,0.02207138,0.01985533,2.37534094,3.17778456,0.02224343,0.02045738
19,2.24102616,3.07267818,0.02160162,0.01945977,2.33282399,3.11219627,0.02160716,0.01989798
20,2.21247721,3.01567113,0.02115591,0.01909828,2.29266262,3.05155653,0.02105954,0.0194214
21,2.1931591,2.97466511,0.02086131,0.01885721,2.25136614,2.99288863,0.02053786,0.01896833
22,2.16665423,2.92698553,0.02049952,0.01856482,2.21401811,2.9428553,0.02014153,0.01861362
23,2.14590156,2.89167026,0.02018865,0.0182932,2.1780777,2.89650905,0.01982844,0.01832826
24,2.11897194,2.84907553,0.0200125,0.01812897,2.14645863,2.85444427,0.01965732,0.01817232
25,2.08703911,2.80836281,0.01971027,0.01786754,2.1164248,2.81257522,0.019533,0.01806938
26,2.06270909,2.77488777,0.01963861,0.01780061,2.08001566,2.76341486,0.01936006,0.01793644
27,2.0312022,2.73051742,0.0194869,0.01768414,2.04129982,2.71230996,0.01920652,0.01782845
28,1.99557471,2.68476865,0.01928114,0.01752956,2.00263643,2.66248816,0.01909085,0.01775969
29,1.9615854,2.63934958,0.0192447,0.01752402,1.96255922,2.61297691,0.01905641,0.01775662
30,1.91834146,2.59298927,0.01911745,0.01743638,1.92122245,2.56351733,0.01907423,0.01779087
31,1.86563814,2.53527355,0.01908844,0.01741655,1.87836564,2.51555049,0.01906485,0.01780007
32,1.83104181,2.50736338,0.01912462,0.01746018,1.83314323,2.46810973,0.01904826,0.01780452
33,1.78580725,2.46757913,0.01902199,0.01739002,1.78834033,2.4218542,0.01900616,0.01778725
34,1.73774838,2.41993952,0.01877705,0.017196,1.7460711,2.37716371,0.01887027,0.01768465
35,1.69044578,2.37531763,0.01851114,0.01697843,1.70759869,2.33523047,0.01869075,0.01753436
36,1.63853365,2.31684181,0.018239,0.01674115,1.67216539,2.29456955,0.01856476,0.01741978
37,1.59527928,2.27162749,0.01789623,0.0164202,1.63812971,2.25297588,0.01848859,0.01734636
38,1.54630989,2.21786261,0.01760346,0.01612671,1.60106945,2.20673424,0.01841728,0.01727477
39,1.49309242,2.15941787,0.01737679,0.01589248,1.55762994,2.15215552,0.01837794,0.017234
40,1.43322331,2.09355459,0.01713116,0.01563351,1.50823927,2.08980697,0.01825168,0.01711515
41,1.36480731,2.01813331,0.01675267,0.01526178,1.44801509,2.01649845,0.01803287,0.01691119
42,1.29509896,1.93963346,0.01631783,0.01483001,1.36026454,1.91918755,0.01761508,0.01650825
43,1.21458113,1.8473202,0.01578676,0.01432609,1.26925755,1.80951738,0.01714174,0.01605232
44,1.13591367,1.74474207,0.01521891,0.01380479,1.20409584,1.71414125,0.01674639,0.01568359
45,1.071024,1.65277863,0.01484755,0.01344402,1.14599395,1.62285471,0.01643713,0.01538117
46,1.02560771,1.58145356,0.01449987,0.01311077,1.09962142,1.55958337,0.0160673,0.01501374
