,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
0,0.54398814,0.85545421,1.99015882,0.75656116,0.41238948,0.64505441,2.09664515,0.64578105
1,0.34524724,0.59257093,1.70060117,0.49064716,0.3027364,0.49741975,1.74164077,0.47609756
2,0.27252366,0.4931448,1.48634025,0.39372668,0.25945878,0.42894525,1.70900453,0.4198069
3,0.24509435,0.43920158,1.44136813,0.3568679,0.24496356,0.3934092,1.69023826,0.39797398
4,0.23016059,0.40557615,1.41083837,0.33589395,0.22925864,0.36668688,1.61879772,0.37666191
5,0.21913595,0.38089956,1.3835689,0.32100099,0.22178001,0.34821461,1.62596183,0.36584833
6,0.21045882,0.36123125,1.36197765,0.30933285,0.21633726,0.33621513,1.63193743,0.35854274
7,0.20476878,0.34883891,1.34876278,0.30181016,0.21124105,0.32835867,1.61609764,0.35304545
8,0.20115583,0.34053648,1.33687187,0.29660197,0.20814746,0.32255114,1.61258541,0.35017805
9,0.19764996,0.33409983,1.32371135,0.29209979,0.206198,0.318166,1.58555188,0.34550631
10,0.19606984,0.33083677,1.31271832,0.29010731,0.20971199,0.31814417,1.60957635,0.34954185
11,0.19466019,0.32767196,1.29995829,0.28780152,0.20463015,0.31406203,1.62547978,0.3461175
12,0.19284759,0.32421246,1.29348699,0.28535776,0.2017963,0.3090774,1.53124329,0.33820007
13,0.19119703,0.3209781,1.27946208,0.28351153,0.20155546,0.30781792,1.53042248,0.33757332
14,0.1891124,0.31790226,1.2710902,0.28082053,0.19774228,0.30411807,1.49443382,0.33290911
15,0.18806764,0.31654174,1.26162155,0.2791093,0.1968349,0.30411875,1.5546213,0.3343844
16,0.18711742,0.3145511,1.26115994,0.27765813,0.19692607,0.30219818,1.50376381,0.33191183
17,0.18552159,0.31247101,1.24784034,0.27593254,0.19674417,0.30153329,1.50173615,0.33208644
18,0.18527623,0.31142634,1.24883437,0.27546903,0.19803376,0.30262761,1.54568531,0.33610335
19,0.18472304,0.31089566,1.24168889,0.27498496,0.19521214,0.29974039,1.52775254,0.33205019
20,0.18369616,0.30842262,1.23974067,0.27339295,0.19422187,0.29977425,1.51662966,0.32988437
21,0.18350788,0.30784484,1.23715925,0.27312032,0.19177157,0.29630551,1.46876644,0.32495154
22,0.18232344,0.30603087,1.23428014,0.272,0.19657134,0.30043565,1.5317223,0.33334286
23,0.18156244,0.30514182,1.23369767,0.27069419,0.19158195,0.29553527,1.49908286,0.32522262
24,0.18154091,0.30498868,1.2258562,0.27068627,0.19251122,0.29631155,1.51344048,0.32834019
25,0.18172267,0.3051559,1.23265792,0.27098432,0.19750463,0.30067086,1.56109885,0.33668085
26,0.18048367,0.30291256,1.22697363,0.26929038,0.19199347,0.29537283,1.50557728,0.32622896
27,0.17978618,0.30117911,1.22221666,0.26850508,0.19743442,0.29832952,1.58181688,0.33726658
28,0.17964014,0.30191701,1.22658883,0.26851587,0.19091043,0.29365115,1.47295695,0.32338296
29,0.17932156,0.30161229,1.22267747,0.2679419,0.19198657,0.29464821,1.50722053,0.32580041
30,0.17942361,0.3018254,1.22614912,0.26797456,0.19729993,0.2978148,1.58468637,0.33683832
31,0.1789391,0.3002061,1.21978931,0.26706846,0.19160802,0.29415335,1.49822773,0.32528258
32,0.1786402,0.30018276,1.22767615,0.26692226,0.19301546,0.29533086,1.52260148,0.32877018
33,0.17838041,0.30011996,1.21533316,0.26598364,0.19494459,0.29665917,1.58397072,0.33451378
34,0.17845648,0.29968875,1.22504157,0.26650042,0.19384654,0.29479434,1.51524055,0.32873586
35,0.17829351,0.30010739,1.21996169,0.26582751,0.19076838,0.29257296,1.52192378,0.3247134
36,0.17790411,0.29844828,1.22011526,0.26563832,0.1900649,0.29290718,1.52123842,0.32451686
37,0.17717353,0.29778564,1.2166926,0.26474734,0.19522298,0.29456466,1.57253034,0.33462281
38,0.17706567,0.29746094,1.22151268,0.26465731,0.19340557,0.29502803,1.56010313,0.33057232
39,0.17696946,0.29768697,1.21357991,0.26428156,0.19244058,0.29417464,1.55022534,0.32859605
40,0.17736113,0.29824173,1.22308246,0.26489382,0.19584927,0.29564425,1.56567547,0.33441766
41,0.17648427,0.29684024,1.21625602,0.26363644,0.19330428,0.29322558,1.56002616,0.33062685
42,0.17580499,0.29516124,1.22103422,0.26312778,0.18803611,0.28935249,1.52249147,0.32130032
43,0.17583019,0.29564754,1.21804472,0.26273537,0.19426941,0.29406856,1.57524179,0.33173143
44,0.17620294,0.29513815,1.2205875,0.26355966,0.19204773,0.29299862,1.56738549,0.32885007
45,0.17486708,0.29445249,1.21382054,0.26147773,0.19152802,0.29187115,1.58794345,0.32973715
46,0.17501083,0.29417715,1.21456327,0.26214774,0.1905775,0.29066845,1.53738417,0.32775088
47,0.17484605,0.29412271,1.21695751,0.26139552,0.18962852,0.29060333,1.52196091,0.32260523
48,0.17494416,0.29390212,1.21483802,0.26177411,0.19147271,0.29110836,1.53290571,0.32645582
49,0.17468944,0.29369684,1.21544573,0.26114459,0.19115691,0.29111645,1.55496641,0.32779006
50,0.17514814,0.2948064,1.21572224,0.26170854,0.1890334,0.28949844,1.53905099,0.32449729
51,0.17412918,0.29278066,1.21446721,0.26065687,0.19435089,0.2945731,1.61053541,0.33517038
52,0.17491464,0.29353496,1.21812605,0.26190567,0.19863918,0.29685549,1.64166122,0.34091936
53,0.17442226,0.29277782,1.22058449,0.26102646,0.18858089,0.28981394,1.49992041,0.32257409
54,0.17432671,0.29291126,1.21156371,0.26081162,0.19182546,0.29209481,1.59080396,0.32993578
55,0.17418893,0.29266587,1.21601305,0.26055286,0.19238774,0.29157774,1.57411271,0.32896375
56,0.17410276,0.29304499,1.21951972,0.26057418,0.19078375,0.29056063,1.53764915,0.32599505
57,0.17327934,0.29200333,1.21155709,0.25955546,0.19492704,0.29448371,1.58626267,0.3333933
58,0.1731802,0.29168165,1.21048075,0.25922642,0.19156249,0.29020515,1.53236024,0.32636627
59,0.17335304,0.29148931,1.21486119,0.2594778,0.19215858,0.29302083,1.53954986,0.32642046
60,0.17271908,0.29102616,1.20638589,0.25837835,0.18801905,0.28814355,1.51118771,0.32050362
61,0.17310678,0.29135374,1.21409117,0.25919576,0.1895698,0.28976778,1.48990158,0.31957763
62,0.17305771,0.29123228,1.20550275,0.25916251,0.19357836,0.29244826,1.57222563,0.33191422
