,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
0,0.64825066,0.96923746,1.82801357,0.88856623,0.58937657,0.8590659,2.75456946,0.88612626
1,0.49116265,0.80869547,1.90829117,0.69465474,0.4287678,0.68097949,2.14060314,0.66845483
2,0.35714845,0.63604269,1.68922298,0.51277478,0.32018069,0.53446024,1.87294654,0.50835779
3,0.29503811,0.53517965,1.53940488,0.42763363,0.28203631,0.47121989,1.76177772,0.45483102
4,0.26174538,0.47217858,1.46041358,0.38013506,0.25698761,0.41939085,1.70650688,0.41470556
5,0.2403261,0.42540077,1.41357304,0.35020976,0.24702127,0.39251402,1.67993529,0.39922288
6,0.22810065,0.39848918,1.38862454,0.33313775,0.23301363,0.37051301,1.66791149,0.38351655
7,0.21875136,0.37788663,1.36135433,0.32036662,0.22670726,0.35473983,1.68447156,0.37632756
8,0.21101457,0.36159423,1.35389857,0.31019647,0.21618787,0.33914921,1.60425303,0.35889663
9,0.20388098,0.34756244,1.32793125,0.30079525,0.21194401,0.32944149,1.61900221,0.35478552
10,0.19885678,0.33766542,1.31570742,0.29414072,0.20747574,0.3213007,1.5747777,0.34698107
11,0.1951848,0.33060852,1.30335752,0.28859863,0.2085667,0.31752892,1.62408983,0.35012126
12,0.19230061,0.32517486,1.29992128,0.28492809,0.20099729,0.31012116,1.59750004,0.33984764
13,0.18838701,0.31822928,1.28615223,0.28001283,0.1985361,0.30677281,1.56137103,0.33660989
14,0.18660252,0.31578264,1.28176734,0.27767884,0.19754776,0.30358865,1.54460653,0.3340052
15,0.18472289,0.31213421,1.27331506,0.27509263,0.19957884,0.30490056,1.60161695,0.33900177
16,0.18338945,0.3097199,1.263149,0.27310337,0.19767457,0.30235759,1.58481375,0.33554602
17,0.18315744,0.30842019,1.27208578,0.27288167,0.19475479,0.30143835,1.54620826,0.33149376
18,0.18195274,0.30696531,1.25562355,0.27105951,0.19728344,0.3006309,1.57143565,0.33230561
19,0.18078666,0.30431793,1.26443311,0.26971413,0.19366226,0.29810146,1.54268409,0.32966526
20,0.18045329,0.30403705,1.25357078,0.26895741,0.19314512,0.29796869,1.53624738,0.328091
21,0.17965299,0.30261873,1.25046333,0.26795514,0.19463451,0.29800693,1.59011085,0.33260111
22,0.17999714,0.30202868,1.25344662,0.26823647,0.19558579,0.29843663,1.59087437,0.33344743
23,0.1797344,0.30223754,1.2593405,0.2679622,0.19350902,0.29606578,1.55684991,0.32882938
24,0.17902167,0.3011485,1.25111683,0.26699232,0.19271597,0.29732088,1.5306632,0.32778
25,0.17893279,0.3016042,1.25066013,0.26673488,0.19828332,0.30028172,1.58422968,0.33539013
26,0.17800606,0.29910524,1.24515911,0.26591271,0.19174865,0.29537859,1.55077515,0.32761961
27,0.17779302,0.2991962,1.24700951,0.26541167,0.19243788,0.2961186,1.54874265,0.32822356
28,0.17728849,0.29826175,1.24658548,0.26474017,0.19630654,0.29771596,1.58481533,0.33368565
29,0.17700532,0.29836185,1.23992818,0.26462996,0.19162741,0.29604081,1.57054996,0.32740563
30,0.17717802,0.29832631,1.24341532,0.26467449,0.19377147,0.2969128,1.56975802,0.33039661
31,0.17701433,0.29756746,1.24052295,0.2642329,0.19361855,0.29622334,1.55687627,0.32936758
32,0.17650469,0.29782523,1.24114729,0.26376552,0.18928987,0.29247859,1.51990042,0.3228397
33,0.17652781,0.2975144,1.24468765,0.26378998,0.19118729,0.29394594,1.51173683,0.32420532
34,0.17591594,0.29680494,1.23025795,0.2631455,0.19138303,0.29415938,1.50847573,0.32397069
35,0.17585714,0.29642578,1.24070374,0.26294617,0.19308044,0.2946653,1.57952921,0.33062346
36,0.17578266,0.29639003,1.2360093,0.26257042,0.19387058,0.29653295,1.54252995,0.33075876
37,0.17624155,0.29680516,1.23406958,0.26307524,0.19502697,0.29730227,1.57112464,0.33307868
38,0.17534927,0.2953968,1.23864444,0.26233372,0.19359991,0.29551751,1.53457564,0.32829765
39,0.17509391,0.2947022,1.2359351,0.26197847,0.19252975,0.29442973,1.53749121,0.32801574
40,0.17536884,0.29455081,1.23359427,0.2620893,0.1915871,0.29334228,1.54329833,0.32650098
41,0.17528037,0.29540052,1.23421931,0.26226665,0.19361659,0.29423355,1.57956354,0.33084061
42,0.17464629,0.29452654,1.23097455,0.26073292,0.19212908,0.29294006,1.55747479,0.32898296
43,0.17480578,0.29490227,1.2279254,0.26134341,0.19185961,0.29385893,1.56081389,0.32740872
44,0.17495843,0.29454474,1.23396769,0.26170287,0.19659373,0.29647196,1.5906929,0.33466178
45,0.17429026,0.29454081,1.2246908,0.26087928,0.194545,0.29511421,1.56695891,0.33082
46,0.17366005,0.29282343,1.22687418,0.26009391,0.19144753,0.29274014,1.52353313,0.32631172
47,0.17418571,0.29373538,1.22323585,0.2602057,0.18845415,0.29024481,1.51816133,0.32196139
48,0.173673,0.29315544,1.22789781,0.25990781,0.19788225,0.2978139,1.62745933,0.34007358
49,0.17375192,0.29326219,1.222526,0.2599998,0.19185066,0.29301629,1.56733091,0.32757506
50,0.17307448,0.29203228,1.22119244,0.2593023,0.19218229,0.2930614,1.58305786,0.3302568
51,0.17323237,0.29175019,1.22929817,0.25948105,0.19008418,0.29126275,1.55374924,0.32503911
52,0.17255467,0.2918679,1.2167921,0.25849114,0.19084542,0.2916954,1.53961343,0.32592714
