,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
0,0.32604065,0.49190414,1.50814344,0.4593751,0.19967124,0.30008229,1.53286753,0.32692417
1,0.17704154,0.29041383,1.18498413,0.25804437,0.16112191,0.25081691,1.28105137,0.26965216
2,0.14886599,0.25372558,0.99269304,0.22044187,0.1430716,0.23162589,1.18309772,0.24528633
3,0.13735347,0.23853014,0.92091865,0.20467856,0.13932734,0.22671209,1.1549445,0.2376221
4,0.13284954,0.23170337,0.89463333,0.19857745,0.1454017,0.22719955,1.21114863,0.24895675
5,0.12916366,0.22714687,0.88429542,0.1937437,0.13901847,0.22368119,1.14679596,0.23882778
6,0.12655422,0.22407644,0.86378736,0.18942578,0.13678734,0.22087043,1.14381761,0.23447997
7,0.12448963,0.22107413,0.85122627,0.18678082,0.13419923,0.21993997,1.15732557,0.23224332
8,0.12258881,0.21883884,0.842661,0.18418913,0.13373237,0.21778738,1.11586019,0.22928551
9,0.12168686,0.21705179,0.83869014,0.1829886,0.13121069,0.21547763,1.08575456,0.22548851
10,0.12051506,0.21563035,0.83061298,0.18121887,0.13309531,0.21767917,1.14852466,0.22868984
11,0.11891901,0.2133902,0.82772721,0.17922102,0.13239421,0.21686173,1.12615034,0.22724544
12,0.11954811,0.21499961,0.82576507,0.17993681,0.13242682,0.21532647,1.10270138,0.22629848
13,0.11825497,0.21275217,0.82108726,0.1779874,0.13186432,0.21606571,1.15195775,0.22910943
14,0.11766306,0.21162737,0.81561523,0.17725069,0.13330784,0.21577055,1.15543199,0.22989102
15,0.11773879,0.21172343,0.8209825,0.17747142,0.12772152,0.21198007,1.10951326,0.22031114
16,0.11662234,0.20979306,0.81425147,0.17569166,0.12806254,0.21187984,1.09594956,0.2215099
17,0.11673948,0.21012026,0.81920279,0.17596667,0.13071301,0.2160957,1.08355027,0.22477076
18,0.1166144,0.21010037,0.81052301,0.17579479,0.13665204,0.22002766,1.09733634,0.23337496
19,0.11531762,0.20824991,0.80613723,0.17371988,0.12716809,0.21113363,1.10141328,0.21922427
20,0.11513809,0.20704421,0.80865828,0.173577,0.13223718,0.21526207,1.12357159,0.22808127
21,0.11530915,0.20794055,0.80737165,0.17391706,0.12785529,0.21191325,1.11930768,0.22165436
22,0.1147041,0.20680938,0.80121582,0.17300915,0.12835548,0.21117406,1.11817783,0.22156286
23,0.11507631,0.20676328,0.80034683,0.17318591,0.13121959,0.21655228,1.14295376,0.22670288
24,0.1145145,0.20677441,0.80186295,0.17259872,0.12786284,0.21103241,1.10859753,0.22056786
25,0.11343812,0.20426814,0.79722718,0.1708471,0.1287917,0.21153628,1.11790128,0.22297335
26,0.11338679,0.20479494,0.79655374,0.17099626,0.12744337,0.21065748,1.11443054,0.22020842
27,0.112919,0.20353231,0.79591271,0.17002794,0.13154695,0.2144938,1.10997312,0.22696715
28,0.11235133,0.2029438,0.79038684,0.16923725,0.12583251,0.21068142,1.10019084,0.21877305
29,0.11244467,0.20225304,0.79154852,0.16958551,0.12763009,0.21124373,1.09856114,0.22129392
30,0.11213405,0.20229365,0.79622218,0.16895385,0.1341936,0.21588776,1.12858036,0.23052031
31,0.11292766,0.20322841,0.79689691,0.17055804,0.12652421,0.20964727,1.08056636,0.21815349
32,0.11193576,0.20134983,0.79339122,0.16879841,0.12699383,0.20986991,1.073601,0.21770162
33,0.11155549,0.20083996,0.79014064,0.16833493,0.13036294,0.21223751,1.12320554,0.22419921
34,0.11176836,0.2011685,0.79442562,0.16850977,0.12865322,0.21068621,1.10690544,0.22220295
35,0.1109205,0.19998704,0.78306772,0.16724264,0.12862902,0.21097601,1.09316234,0.21981541
36,0.11074921,0.20024464,0.78868578,0.16722928,0.12629983,0.2100942,1.08755297,0.2187635
37,0.11033123,0.19895622,0.78333657,0.16657779,0.12681738,0.20983608,1.10471811,0.21981888
38,0.11024169,0.19802781,0.78137437,0.16659776,0.12767969,0.20969205,1.07131097,0.21971453
39,0.11158141,0.20030482,0.78925709,0.16826034,0.12915575,0.21231506,1.11670866,0.22433253
40,0.11018636,0.19913926,0.78106651,0.16607879,0.12637654,0.20842334,1.09998441,0.21807397
41,0.10972842,0.19725828,0.78119124,0.16574237,0.12823934,0.21146957,1.14901153,0.22357759
42,0.11008209,0.19773833,0.78294058,0.16607622,0.12732366,0.21037705,1.09845582,0.21979338
43,0.1094164,0.19665528,0.78512942,0.16516445,0.12593276,0.20995489,1.07529793,0.21764927
44,0.10968474,0.19795187,0.77687311,0.16542039,0.12956862,0.21034971,1.11995844,0.22479507
45,0.1094761,0.19720107,0.77458065,0.16507374,0.12772888,0.21079092,1.10565208,0.22121119
46,0.10917679,0.19711854,0.77947464,0.16491324,0.13056578,0.21157547,1.10479992,0.22396851
47,0.10905342,0.19639627,0.77617323,0.16446388,0.12666894,0.20911214,1.11443172,0.21972964
48,0.10834581,0.19604013,0.77295507,0.16367358,0.12626703,0.20982649,1.06719658,0.21656157
49,0.10911157,0.19572799,0.77763904,0.16447614,0.12221314,0.20551222,1.06218006,0.21189508
50,0.10842175,0.1960713,0.76963436,0.1636173,0.12869222,0.21190804,1.09579215,0.22194465
51,0.11004538,0.19777135,0.77816796,0.16607146,0.13357122,0.21442433,1.12981242,0.23060732
52,0.10884832,0.19579693,0.77615065,0.16418622,0.13318208,0.21323179,1.13515606,0.2284597
53,0.10870433,0.19542697,0.77172325,0.16385521,0.12588261,0.20972629,1.08259198,0.21775487
54,0.10766159,0.19355751,0.76962776,0.16247161,0.12674127,0.2101595,1.10811801,0.21958485
55,0.10871882,0.1952228,0.77187942,0.16389839,0.12493372,0.20912149,1.07687654,0.21512081
56,0.10775609,0.19379235,0.76739462,0.16266722,0.12840243,0.20981562,1.12041205,0.22324054
57,0.10749846,0.19391425,0.76694334,0.16239903,0.12817264,0.21205399,1.08260669,0.22218934
58,0.10789728,0.19411275,0.76507704,0.16268955,0.12724557,0.20871952,1.11622818,0.22090151
59,0.10747312,0.1940087,0.76690543,0.16236804,0.12768928,0.20867474,1.12299783,0.22180635
60,0.10693836,0.19267648,0.76674279,0.16158183,0.13082553,0.21238922,1.13816976,0.2282628
61,0.1071863,0.1933056,0.766831,0.16201386,0.12675608,0.2097951,1.07466401,0.2188401
62,0.10721821,0.19333192,0.76155836,0.1616931,0.12520765,0.20834337,1.09657356,0.2158222
63,0.10706523,0.19225735,0.76688288,0.16179767,0.12998212,0.21135842,1.1253317,0.22569219
64,0.10699823,0.19299929,0.7654324,0.16166828,0.1269704,0.20970246,1.10989137,0.22017654
65,0.1069238,0.19169481,0.76112197,0.16114077,0.12954095,0.21206347,1.13940274,0.22537698
66,0.10646672,0.19135063,0.7625093,0.16076547,0.12511535,0.20894886,1.10512368,0.21774852
67,0.10611949,0.19076871,0.75583547,0.16004365,0.12538141,0.20783723,1.09943905,0.21854298
68,0.10651318,0.19159526,0.76391847,0.16103624,0.12581442,0.20830471,1.07445993,0.21560262
69,0.10647239,0.19086226,0.75944084,0.16073538,0.12770841,0.20935766,1.1174888,0.2229214
